      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2004-03-02	1692.62	1694.81	1677.98	1687.28	21959201	17513250816.000
2004-03-03	1686.96	1688.94	1654.56	1661.81	20541767	16061371392.000
2004-03-04	1658.63	1670.16	1642.63	1668.87	19255238	14827440128.000
2004-03-05	1671.06	1675.03	1660.21	1662.10	18133416	13443561472.000
2004-03-08	1660.64	1665.73	1635.44	1637.14	22766481	13470867456.000
2004-03-09	1636.21	1659.65	1634.71	1637.10	18792045	12906083328.000
2004-03-10	1639.68	1678.40	1639.68	1678.07	18952303	13403624448.000
2004-03-11	1680.31	1698.78	1672.67	1691.64	20650830	15886191616.000
2004-03-12	1692.87	1699.25	1680.45	1694.74	18390717	13800068096.000
2004-03-15	1696.94	1738.98	1696.82	1736.22	29065090	22021156864.000
2004-03-16	1741.62	1747.98	1730.73	1745.54	25148778	19447109632.000
2004-03-17	1746.74	1750.71	1730.27	1745.10	21244535	16670630912.000
2004-03-18	1746.18	1755.10	1714.90	1717.26	23578002	17903599616.000
2004-03-19	1715.47	1748.19	1710.84	1747.87	20193521	15102486528.000
2004-03-22	1749.71	1760.08	1742.37	1755.69	20490810	15249723392.000
2004-03-23	1755.32	1755.33	1731.49	1741.69	20729147	16082774016.000
2004-03-24	1740.89	1752.42	1729.51	1740.05	20233070	15730060288.000
2004-03-25	1737.49	1751.81	1725.98	1736.48	18123061	13998752768.000
2004-03-26	1737.06	1741.56	1720.88	1734.05	17971982	14737129472.000
2004-03-29	1734.59	1740.31	1717.86	1719.67	17799933	14482738176.000
2004-03-30	1718.78	1727.18	1711.66	1724.28	15167516	12430704640.000
2004-03-31	1726.57	1745.70	1724.21	1741.62	17695363	14335412224.000
2004-04-01	1744.71	1758.98	1741.33	1758.15	19312172	16210460672.000
2004-04-02	1760.47	1771.67	1756.65	1768.65	23211071	19086850048.000
2004-04-05	1771.74	1774.12	1753.71	1766.48	26351057	21888636928.000
2004-04-06	1767.32	1777.74	1754.74	1777.52	25421633	20996528128.000
2004-04-07	1779.43	1783.01	1771.13	1774.55	24717080	20685041664.000
2004-04-08	1774.40	1778.09	1765.02	1770.28	24467966	20846147584.000
2004-04-09	1770.91	1778.22	1721.59	1727.35	26828828	22388758528.000
2004-04-12	1717.20	1729.62	1702.40	1722.99	20293370	16483344384.000
2004-04-13	1724.58	1734.92	1710.39	1715.14	20636893	16871474176.000
2004-04-14	1714.53	1716.82	1678.34	1697.16	21530458	17010101248.000
2004-04-15	1697.24	1705.02	1674.91	1679.08	16507157	13086201856.000
2004-04-16	1678.97	1694.56	1656.30	1693.86	19029895	14600336384.000
2004-04-19	1695.33	1698.69	1672.35	1675.89	14759026	11779389440.000
2004-04-20	1674.36	1682.05	1659.95	1669.42	13670256	11149700096.000
2004-04-21	1669.38	1675.36	1645.08	1651.58	15865939	12346708992.000
2004-04-22	1649.05	1659.79	1637.29	1657.79	13383034	10312609792.000
2004-04-23	1653.94	1653.99	1632.56	1635.50	13463930	9905267712.000
2004-04-26	1633.27	1644.50	1623.05	1635.50	10944212	8358153216.000
2004-04-27	1636.44	1640.69	1608.81	1611.86	13376478	10466141184.000
2004-04-28	1606.42	1615.14	1589.10	1606.80	13260498	10233720832.000
2004-04-29	1605.30	1613.56	1578.09	1579.45	14230964	11058968576.000
2004-04-30	1579.97	1599.56	1572.23	1595.59	12990051	9997848576.000
2004-05-10	1600.63	1603.07	1555.26	1560.21	8718337	6365467648.000
2004-05-11	1556.72	1570.76	1545.63	1568.06	8208075	6157000192.000
2004-05-12	1568.41	1604.42	1564.14	1603.77	11874966	8758266880.000
2004-05-13	1605.70	1606.07	1589.46	1597.57	9567336	7357138432.000
2004-05-14	1596.73	1597.32	1558.54	1562.69	10072769	7395139072.000
2004-05-17	1556.67	1562.39	1537.47	1539.96	8873142	6529652736.000
2004-05-18	1537.34	1555.86	1526.24	1555.44	12609870	9817234432.000
2004-05-19	1559.26	1575.38	1548.16	1558.29	13211805	9647800320.000
2004-05-20	1556.69	1571.30	1542.22	1549.06	10559511	7179558400.000
2004-05-21	1548.56	1559.86	1545.62	1558.33	10149540	6499432960.000
2004-05-24	1559.55	1562.33	1547.36	1550.35	9315736	6136397824.000
2004-05-25	1549.02	1549.59	1516.34	1518.05	10111280	7124520448.000
2004-05-26	1515.16	1529.91	1508.65	1524.44	8092712	5588707840.000
2004-05-27	1524.94	1559.55	1515.97	1557.18	13529194	9372703744.000
2004-05-28	1558.42	1561.00	1545.65	1548.72	9525949	6709097472.000
2004-05-31	1549.03	1556.79	1544.71	1555.91	8092426	5650060288.000
2004-06-01	1555.56	1579.82	1553.12	1579.66	14386479	11152591872.000
2004-06-02	1580.21	1580.57	1562.24	1567.07	14522630	11768786944.000
2004-06-03	1566.42	1566.83	1540.74	1543.53	11785274	9256826880.000
2004-06-04	1541.09	1549.50	1534.99	1542.09	11746335	8254707200.000
2004-06-07	1538.46	1538.50	1508.87	1517.15	9975911	7136524800.000
2004-06-08	1514.78	1519.99	1488.63	1493.81	10754945	7830858240.000
2004-06-09	1492.20	1497.18	1464.16	1468.07	12367769	8841884672.000
2004-06-10	1465.56	1478.17	1456.32	1468.34	11337074	7825039872.000
2004-06-11	1471.69	1499.46	1469.54	1472.07	11086339	7828671488.000
2004-06-14	1471.45	1471.45	1431.31	1438.74	11295659	7664483840.000
2004-06-15	1436.08	1469.57	1433.03	1463.78	10726086	7284825088.000
2004-06-16	1465.23	1491.69	1452.58	1475.42	11787133	7916291072.000
2004-06-17	1475.27	1478.49	1443.53	1445.50	9847524	6830784000.000
2004-06-18	1442.48	1442.48	1411.03	1427.30	10520460	7389534208.000
2004-06-21	1421.83	1434.20	1414.97	1433.47	8221234	5892775936.000
2004-06-22	1434.42	1456.13	1430.96	1450.68	11141369	8352979456.000
2004-06-23	1450.07	1450.11	1428.80	1440.73	8713056	6537909248.000
2004-06-24	1438.31	1447.39	1426.49	1427.75	9506898	6965151232.000
2004-06-25	1426.55	1434.47	1399.39	1401.11	9854145	7095026176.000
2004-06-28	1396.36	1397.52	1380.20	1385.18	8313757	5648446464.000
2004-06-29	1384.64	1409.38	1376.22	1408.69	10654000	6880065536.000
2004-06-30	1408.27	1415.84	1394.68	1399.16	8709699	5603837952.000
2004-07-01	1398.20	1445.10	1396.35	1441.07	14580098	9447359488.000
2004-07-02	1441.12	1447.61	1428.07	1441.19	11068766	7289871360.000
2004-07-05	1440.17	1444.93	1429.12	1444.59	8398896	5442176000.000
2004-07-06	1445.40	1466.78	1445.32	1450.03	12255000	8098817536.000
2004-07-07	1448.95	1448.96	1434.29	1438.40	8110749	5357677056.000
2004-07-08	1436.47	1440.64	1426.95	1439.78	7158494	4666150912.000
2004-07-09	1439.73	1451.75	1429.14	1430.65	7418729	4926662656.000
2004-07-12	1426.25	1426.25	1393.81	1397.15	8930134	5693310976.000
2004-07-13	1395.35	1403.14	1389.16	1399.46	7358626	4600439296.000
2004-07-14	1399.86	1408.99	1378.91	1403.76	10506909	6593246208.000
2004-07-15	1404.47	1422.26	1399.98	1421.54	12771154	8411706368.000
2004-07-16	1423.69	1458.39	1422.24	1456.13	22935943	14594783232.000
2004-07-19	1456.77	1465.84	1447.05	1457.54	13493061	8966334464.000
2004-07-20	1457.23	1457.29	1440.06	1447.94	12447571	8293449216.000
2004-07-21	1446.52	1452.86	1436.85	1448.04	9644045	6550139904.000
2004-07-22	1448.13	1449.69	1404.54	1407.44	13235340	8772963328.000
2004-07-23	1403.36	1408.46	1387.26	1407.40	10997608	6963159552.000
2004-07-26	1401.84	1401.88	1381.91	1387.67	8444411	5325877248.000
2004-07-27	1386.99	1395.31	1373.42	1384.13	9508097	5857960960.000
2004-07-28	1385.50	1397.17	1366.50	1388.81	10422292	6219950592.000
2004-07-29	1388.62	1407.36	1385.96	1407.33	11508945	7160332288.000
2004-07-30	1408.49	1409.12	1384.74	1386.20	9311763	5895365632.000
2004-08-02	1381.88	1383.08	1370.50	1373.22	7271499	4757135872.000
2004-08-03	1371.28	1378.20	1363.69	1366.26	7792464	5450751488.000
2004-08-04	1365.67	1424.55	1364.01	1404.51	17709083	10878660608.000
2004-08-05	1402.37	1413.08	1387.55	1389.04	11043246	6826090496.000
2004-08-06	1388.07	1400.95	1380.31	1390.46	9235484	5914393088.000
2004-08-09	1388.08	1397.59	1382.94	1395.85	8224818	5088668672.000
2004-08-10	1396.62	1404.72	1390.94	1400.77	7162672	4532793856.000
2004-08-11	1401.02	1401.25	1382.24	1384.96	7948078	4834778112.000
2004-08-12	1378.79	1378.79	1357.08	1368.20	8755345	5170554880.000
2004-08-13	1361.98	1377.82	1358.31	1368.45	8592050	5377719296.000
2004-08-16	1366.52	1369.87	1350.84	1354.51	8121606	4719178240.000
2004-08-17	1354.38	1364.41	1344.81	1360.20	7568852	4745609216.000
2004-08-18	1359.87	1371.23	1357.03	1358.22	7980519	5141436928.000
2004-08-19	1357.23	1357.27	1333.48	1340.45	8623672	5137114624.000
2004-08-20	1338.31	1349.47	1327.77	1341.74	8835866	4986079744.000
2004-08-23	1339.93	1339.94	1322.98	1325.41	6770421	3964251136.000
2004-08-24	1323.79	1347.15	1317.56	1344.63	10166386	5484376064.000
2004-08-25	1344.46	1346.97	1334.29	1339.78	6879255	3833919232.000
2004-08-26	1339.62	1340.95	1330.22	1334.42	6084274	3515780608.000
2004-08-27	1333.31	1337.73	1314.60	1320.61	7126479	4061753088.000
2004-08-30	1318.32	1322.23	1310.02	1319.41	6289423	3436928512.000
2004-08-31	1342.30	1360.75	1331.76	1342.06	12592352	6943955456.000
2004-09-01	1340.75	1340.77	1319.86	1321.46	6758693	3677390592.000
2004-09-02	1319.07	1328.61	1303.19	1327.93	9207820	4861988864.000
